BOD,name,count(nameGiven)
1889-08-08,"Alfred Boyd,James J.",2
1889-08-24,"Jewel Winklemeyer,Henry Morgan",2
1889-08-25,"Frederick Gottleib,James Arthur",2
1889-08-29,"Frank Collins,Gilbert Eugene",2
1889-09-18,"Charles Marion,Henry Knight",2
1889-09-28,"Anna Sebastian,John Frank,Raymond Willis",3
1889-10-13,"Frank John,Charles William",2
1889-10-15,"Charles Franklin,Herbert Earl",2
1889-10-23,"Abbott Paige,Hugh Carpenter,Owen Sylvester",3
1889-11-04,"George Joseph,Arthur Edwin",2
1889-11-17,"Ernest Lewis,William Christian",2
1889-11-25,"Richard Luther,Joseph Henry",2
1889-12-02,"Robert Walter,Howard Elmer",2
1889-12-10,"Grover Cleveland,Troy Levi,James Harle",3
1889-12-24,"Esley Porterfield,Paul Franklin",2
1889-12-26,"Jesse Howard,Tillar H.,John Park",3
1890-01-05,"Benjamin Michael,Eugene",2
1890-01-11,"Max George,Maurice Michael",2
1890-01-23,"William M.,Edmund J.",2
1890-01-25,"Henry Omer,Philip Hayden",2
1890-02-04,"Edward Wilbur,George Bostic",2
1890-02-20,"David W.,Thomas Lovatt,Edgar Charles",3
1890-02-23,"John Falconor,Lee Currin",2
1890-03-04,"John,Earl Carlton",2
1890-03-09,"George Allen,Rolla Hamilton",2
1890-03-28,"Leo Thomas,John Thomas",2
1890-04-06,"James Carlisle,Thomas William",2
1890-04-09,"Joseph Dank,Walter Charles",2
1890-04-13,"Alfred Frederick Joseph,George Penfield",2
1890-04-25,"Henry Neitz,James Edward,Lloyd Clifton",3
1890-05-06,"Lute Joseph,Walton Edwin",2
1890-05-15,"James Harry,Lloyd Benjamin,Claude Alfred",3
1890-06-03,"John Gallatin,Thomas G.",2
1890-06-15,"John Nicodemus,Harry Ernest",2
1890-06-20,"Cumberland Willis,Charles Byrd,Edward Henry",3
1890-06-23,"Harry Peter,William Davitte",2
1890-07-08,"Walter A.,Clarence Dickson,Harold Bell,Ivey Brown",4
1890-07-19,"Robert Ashley,Roy DeVerne",2
1890-08-06,"Clarence Eugene,Frank John",2
1890-08-23,"James Roy,Henry Knox,Harold Edward",3
1890-09-19,"Raymond Joseph,John Phalen",2
1890-09-22,"Urban James,Dennis Ernest",2
1890-09-27,"James Irvin,Frank Gilbert",2
1890-09-30,"Harry Koch,Leo Ignatius",2
1890-10-09,"Emory Wilbur,Ernest Devon,Roy Hardee",3
1890-10-12,"Joseph Daniel,Frank Talmadge",2
1891-01-03,"Charles Harold,John Leo",2
1891-01-15,"Raymond Johnson,Leo Alphonse",2
1891-01-16,"Ferdinand Maurice,Marvin Mardo",2
1891-01-23,"Raymond Timothy,Orie Milton,Charles Bernard",3
1891-01-31,"Timothy Green,Charles C.",2
1891-02-18,"Sherrod Malone,George Washington",2
1891-03-04,"Jose,Charles Arthur",2
1891-03-06,"Oliver Frank,Clarence Raymond",2
1891-03-31,"James Donaldson,John Daniel",2
1891-04-16,"Charles Edward,Ricardo J.",2
1891-05-04,"Victor Sylvester,Frank Leo",2
1891-05-05,"Scott Cook,Bruno Philip",2
1891-05-19,"Frederick Paul,Dorsey Lee,George Myron",3
1891-05-21,"Charles Bunn,Yancey Wyatt",2
1891-06-01,"Henry Levai,Homer Thomas",2
1891-06-14,"Harrie Crane,Frank Blaine",2
1891-06-15,"Louis Alexander,Frank Patrick",2
1891-06-23,"Albert Stanley,John Gooding",2
1891-06-26,"Albert Alfred,Justin Howard",2
1891-07-22,"Herbert Lee,George Washington",2
1891-08-11,"Karl Tutwiler,Walter Lawrence",2
1891-08-17,"Reginald Bertrand,Archer Edwin",2
1891-08-19,"Herbert Lee,Albert E.,James Earl",3
1891-08-30,"Harold Philip,William Dayton",2
1891-09-16,"George William,Preston James",2
1891-09-21,"Francis Leroy,Stephen Gilbert",2
1891-10-08,"Douglas Williams,Monte",2
1891-11-06,"Jefferson Lamar,Walter Anthony",2
1891-11-30,"John Augustus,Joseph Henry",2
1892-01-02,"George Henry,John Westly,Merlin Henry",3
1892-02-01,"Oland Alexander,Thomas Patrick",2
1892-02-17,"Frederick F.,Harry Loran",2
1892-03-06,"Lloyd Garrison,George Benjamin",2
1892-03-12,"William Lawrence,George John",2
1892-03-13,"George Joseph,Edward Patrick,Eric George Adolph",3
1892-04-11,"Raymond Cornelius,Willard Jehu",2
1892-04-19,"Joseph Harley,Charles Henry",2
1892-04-25,"James Patrick Michael,Alfred Peter",2
1892-05-04,"John Edgar,John Thomas,Theodore Holhot",3
1892-05-23,"Clarence Ossie,Luther Lane",2
1892-05-24,"Joseph Carl,Oscar Theander",2
1892-06-04,"Herbert Barrett,Paul Augustus,George Frederick",3
1892-06-11,"Clarence Cofield,Archie Joseph",2
1892-06-24,"Howard Simpson,George Washington",2
1892-07-31,"Erving Leslie,Arthur Neukom,David Carter",3
1892-08-25,"Norman Doxie,John Paul",2
1892-10-17,"Francis A.,Floyd John",2
1892-10-18,"Frank Ignatz,William Lawrence",2
1892-11-01,"Earl Stuart,James Edward",2
1892-11-05,"Alfred John,Clarence Everett,Lee William",3
1892-11-17,"Don Raphael,Eugene Gass",2
1892-11-18,"Harry Roy,Pedro,Leslie",3
1892-12-01,"George Clark,Dean Donnell",2
1892-12-19,"Frederick Harvey,John Edward",2
1892-12-25,"Walter Henry,Karl Dickey",2
1893-01-10,"Joseph John,Martin John",2
1893-01-12,"Adolph Andreas,Charles",2
1893-01-20,"Albert Frank,Clifford Joseph",2
1893-02-17,"Edward Joseph,Walter Clement",2
1893-02-21,"Norman William,Marshall McDiarmid",2
1893-03-09,"William Harold,Claude Preston",2
1893-03-12,"Joseph William,Alexander Nathaniel",2
1893-04-07,"Fletcher,Desmond Aloysius",2
1893-04-09,"Willard Blackmer,Earnest Preston",2
1893-04-11,"Harold John,Spencer Armstrong",2
1893-04-15,"John Thomas,Vernon Alexander",2
1893-05-08,"Edson Marshall,Edd J.,Roy Hamilton",3
1893-05-12,"Harvey Max,George",2
1893-05-20,"Walter Jacob,Alfred Holmes",2
1893-06-01,"Guy,Edwin Henry",2
1893-06-09,"Emil Frederick,McKinley Davis",2
1893-07-08,"Daniel Courtenay,William Verna",2
1893-07-09,"Tyrus Turner,Harry Josiah,Anthony Joseph",3
1893-07-11,"Clarence Waldo,Milton Joseph",2
1893-08-18,"Bernard Allen,Burleigh Arland,William Earl",3
1893-08-22,"Oscar Lawrence,Lyle Randolph",2
1893-08-27,"Homer Harold,Everett Clarence",2
1893-09-11,"Oscar Ray,Austin Roy",2
1893-09-13,"John Patrick,Michael Joseph,Walter Henry",3
1893-09-20,"John Thomas,Frederick Renshaw",2
1893-09-22,"Ira James,Frank Alexander",2
1893-09-28,"William Herbert,Kenneth Johnston",2
1893-10-06,"John Lawrence,Louis Baird",2
1893-10-13,"Charles Harry,William Martin",2
1893-10-15,"John Gottlieb,Gilbert Arthur",2
1893-11-01,"Otis Carroll,Alexander Thomson",2
1893-11-28,"James Francis,Benjamin Joyce",2
1893-11-29,"Carter Ward,Charles Anthony",2
1893-12-17,"Oscar Monzon,Robert Watkins",2
1893-12-18,"Rinaldo Louis,Dominic Joseph",2
1893-12-22,"Martin Henry,Jesse Frank",2
1894-01-01,"Laurence H.,Frank Edward",2
1894-01-03,"Thomas Joseph,John Lester",2
1894-01-09,"William Joseph,Ira Dance",2
1894-02-01,"James Arthur,Walter George",2
1894-02-06,"Pelham Ashby,Joseph Aloysius",2
1894-02-10,"Herbert Jefferis,James Arthur",2
1894-02-22,"Thomas Dillard,William Bernard",2
1894-03-07,"Frank Elmer,Merwin John William",2
1894-03-10,"Frederick Edward,John",2
1894-03-19,"Chester Leroy,William Adolph",2
1894-03-29,"Gorham Vance,Robert Wesley,Alexander Boyd",3
1894-03-31,"Thomas Clancy,Howard Bennett",2
1894-04-07,"Frederick Francis,Horace Robert",2
1894-04-13,"Cecil Randolph,Patrick Francis",2
1894-05-30,"Howard Earle,Albert Leon",2
1894-06-10,"Roy Lee,Fred",2
1894-06-11,"Walter Elton,Jacinto",2
1894-06-15,"Michael Joseph,Norman Stanley",2
1894-06-27,"Harvey Fred,Joseph H.",2
1894-07-13,"Edward Norman,George Harold",2
1894-07-18,"Wilbur McCullough,William Bernard,Carl Remus",3
1894-07-30,"Charles William,William Aloysius",2
1894-08-03,"George Wagner,Harry Edwin",2
1894-08-04,"James Ronald,Sidney Wright",2
1894-08-09,"Leo Daniel,John Franklin",2
1894-08-27,"Carlton William,Edward Joseph",2
1894-09-04,"Leo Moses,Frederick Bamford",2
1894-09-13,"Frank Aloysius,Samuel Byrem",2
1894-10-01,"Raymond Carl,John Walter",2
1894-10-13,"Charles August,Robert",2
1894-10-20,"James Eugene,Martin Albert",2
1894-10-31,"Kenneth Daniel,Raymond Joseph",2
1894-11-13,"Ernest Frederick,Raymond",2
1894-11-23,"Jesse Lee,Arthur Andrew",2
1894-12-06,"Christian Frederick Albert John Henry David,Walter John",2
1894-12-14,"Stanwood Fulton,James Corbette",2
1894-12-31,"Joseph Howard,James Francis",2
1895-01-12,"Henry Landers,Elmer Russell",2
1895-01-21,"Edwin George,James Edward",2
1895-02-02,"George Stanley,George Edward",2
1895-02-22,"Clyde Herbert,Edward Oliver,Roy Vincent",3
1895-04-24,"Harry Clayton,Douglas Wooley",2
1895-05-13,"Frank LeMoyne,Lester Alfred",2
1895-05-15,"Joseph Patton,James Lawrence",2
1895-09-28,"Lawton Walter,Harold Frederick",2
1895-10-01,"Carmen Proctor,Roy",2
1895-10-13,"Michael,Benjamin Edwin,James Newsom",3
1895-10-18,"Ralph Arthur,Thomas Augustin",2
1895-11-03,"James Huey,Frank Hoxie",2
1895-11-05,"Thomas Henry,Wayne Bromley",2
1895-11-10,"Vernon Henry,Wilson Lloyd",2
1895-11-28,"William Edward,Maurice Montague",2
1895-12-25,"Francis Rogers,Herbert Harrison",2
1895-12-26,"John Burnette,Herman Polycarp",2
1896-01-18,"Clarence Edward,William Aloysius",2
1896-01-31,"William McKinley,Charles Culbertson",2
1896-02-21,"Richard James,Ewell",2
1896-02-27,"Ralph Foster,Willis Thomas",2
1896-02-28,"Homer Estell,Ernest Judson",2
