yearID,teamID,total_spend,cumu_sum
1991,TOR,19902417,98.1
1992,TOR,44788666,142.9
1993,TOR,47279166,190.1
1994,TOR,43433668,233.6
1995,TOR,50590000,284.2
1996,TOR,29555083,313.7
1997,TOR,47079833,360.8
1998,TOR,51376000,412.2
1999,TOR,45444333,457.6
2000,TOR,44838332,502.5
2001,TOR,76895999,579.3
2002,TOR,76864333,656.2
2003,TOR,51269000,707.5
2004,TOR,50017000,757.5
2005,TOR,45719500,803.2
2006,TOR,71365000,874.6
2007,TOR,81942800,956.5
2008,TOR,97793900,1054.3
2009,TOR,80538300,1134.9
2010,TOR,62234000,1197.1
2011,TOR,62567800,1259.7
2012,TOR,75009200,1334.7
2013,TOR,126288100,1461.0
2014,TOR,109920100,1570.9
2005,WAS,48581500,48.6
2006,WAS,63143000,111.7
2007,WAS,36947500,148.7
2008,WAS,54961000,203.6
2009,WAS,59928000,263.6
2010,WAS,61400000,325.0
2011,WAS,63856928,388.8
2012,WAS,80855143,469.7
2013,WAS,113703270,583.4
2014,WAS,131983680,715.4
